862,2295
839,2208
1090,2070
1255,1979
1338,1934
1428,1883
1504,1842
1669,1751
1752,1706
1861,1889
1958,2155
2023,2333
2087,2510
2152,2688
2283,3042
2305,3098
2351,3219
2650,4015
3223,5309
3655,6239
3660,6438
